game_id,line_item_index,name,quantity,quantity_missing,t_hat,price_low,price_high,sigma,coverage_probability,channels,memory_backed,model_backed,rule,charge_decided,limit_decided,charge_settled,limit_lower_bracket,limit_upper_bracket,t_lo,t_hi,t_bounded,t_point,penalty_on_this_item,stage,why,strategy1_charge,strategy1_limit,strategy2_charge,strategy2_limit,strategy3_charge,strategy3_limit,charge_over_t_lo,limit_over_t_lo,t_hat_over_t_point,decision_log_partial
26,1,Disassembly and assembly service (1 pcs),1.0,False,288.44410203711897,157.8122880500669,527.208628859143,0.3666231227872056,0.95,C:model,False,True,priced,197.59,86.53,251.64,106.56,inf,95.47,106.2,True,100.83500000000001,0.0,charge-above-t,"Charged 252 against t < 106, so every opponent owed us nothing.",,,,,,,2.635802,0.906358,2.860555,False
26,2,Construction dryer (7 days),7.0,False,1047.6640682967034,697.2017027127912,1574.2933439910867,0.2475644450567098,0.975,C:model,False,True,priced,773.8,314.3,252.63,110.88,139.53,282.33,378.0,True,330.16499999999996,2945.385,ok,Nothing obviously wrong with this item.,,,,,,,0.894804,1.113236,3.173153,False
26,3,Rock wool pipe insulation (1 pcs),1.0,False,46.68713442566234,26.272491400359456,82.96466778365921,0.34951136485680523,0.87,B:memory|C:model,True,True,priced,32.34,14.01,29.27,7.0,18.85,37.17,41.94,True,39.555,304.245,ok,Nothing obviously wrong with this item.,,,,,,,0.787463,0.376917,1.180309,False
26,4,Construction waste disposal (1 flat rate),1.0,False,87.06739557667055,48.995883548646816,154.72180157701834,0.3495113648568051,0.835,B:memory|C:model,True,True,priced,60.31,26.12,58.39,16.54,32.13,58.39,60.0,True,59.195,351.69,ok,Nothing obviously wrong with this item.,,,,,,,1.0,0.447337,1.470857,False
26,5,Wall levelling material (1 pcs),1.0,False,51.961524227066306,23.74747382959393,113.69630384160182,0.47600447795893874,0.9299999999999999,C:model,False,True,priced,33.04,15.59,18.39,0.0,15.0,65.0,,False,65.0,748.365,charge-far-below-t,Charged 18 against t >= 65; the difference was forfeited from every opponent.,,,,,,,0.282923,0.239846,0.799408,False
26,6,Rough renovation (2.78 m²),2.78,False,319.99999999999994,188.27148973265665,543.8954147832302,0.32245348349096126,0.9450000000000001,C:model,False,True,priced,225.57,96.0,250.04,72.83,112.5,181.39,206.58,True,193.985,2114.4,charge-above-t,"Charged 250 against t < 207, so every opponent owed us nothing.",,,,,,,1.378466,0.529246,1.649612,False
26,7,Mounting / service opening (1 pcs),1.0,False,198.99748742132394,104.6386909858212,378.4451012041605,0.3907470034545409,0.96,C:model,False,True,priced,134.16,59.7,79.25,39.63,65.0,130.23,176.75,True,153.49,1392.96,ok,Nothing obviously wrong with this item.,,,,,,,0.608539,0.45842,1.296485,False
26,8,Premium large-format designer wall tiles 120 x 120 (5 pcs),5.0,False,394.96835316263014,148.3601735363345,1051.4951302735876,0.5952356965334596,0.18,C:model,False,True,uncovered-free-option,229.93,0.0,109.87,0.0,inf,0.0,43.6,True,21.8,0.0,ok,Nothing obviously wrong with this item.,,,,,,,,,18.117814,False
26,9,Premium grout (1 pcs),1.0,False,22.9128784747792,7.506362943465235,69.94066286883259,0.678387889345277,0.22,C:model,False,True,uncovered-free-option,12.48,0.0,11.95,0.0,3.58,11.3,11.64,True,11.47,22.320000000000004,coverage-too-low,"Coverage came back 0.22 so the Limit collapsed, but the item is worth at least 11.",,,,,,,1.057522,0.0,1.997635,False
26,10,Premium silicone sealant (12 m),12.0,False,57.445626465380286,27.348255792557968,120.66583057549136,0.45117697293250963,0.21000000000000002,C:model,False,True,uncovered-free-option,37.17,0.0,34.76,0.0,inf,0.0,14.56,True,7.28,0.0,ok,Nothing obviously wrong with this item.,,,,,,,,,7.890883,False
26,11,Vehicle costs (1 pcs),1.0,False,72.47101972066238,40.7819898524297,128.7835321022162,0.34951136485680523,0.75,B:memory|C:model,True,True,priced,50.2,21.74,52.14,5.24,24.28,81.0,,False,81.0,944.535,ok,Nothing obviously wrong with this item.,,,,,,,0.643704,0.268395,0.894704,False
26,12,Skilled worker hours (14 hrs),14.0,False,1084.8985233882877,610.5105287917249,1927.9025512951,0.34951136485680523,0.96,B:memory|C:model,True,True,priced,751.53,325.47,766.7,0.0,338.59,980.01,,False,980.01,15217.244999999999,ok,Nothing obviously wrong with this item.,,,,,,,0.782339,0.332109,1.107028,False
27,1,Translation from Spanish to English 68 lines,1.0,False,0.0,0.0,0.0,0.42136606720969316,0.01,C:model,False,True,uncovered-free-option,39.62,0.0,39.62,0.0,inf,0.0,39.62,True,19.81,0.0,ok,Nothing obviously wrong with this item.,10200.0,1.0,39.62,0.0,10200.0,35.0,,,0.0,False
